Field	Units	Description
Fc_molar	umol/(m^2 s)	Final corrected CO2 flux
Fc_mass	mg/(m^2 s)	Final corrected CO2 flux
Fc_qc_grade	Grade	Overall quality grade for Fc_molar and Fc_mass following Foken et al. 2012
Fc_samples_Tot	samples	The total number of time series samples used in calculation of Fc
LE	W/m^2	Final corrected latent heat flux
LE_qc_grade	Grade	Overall quality grade for LE following Foken et al. 2012
LE_samples_Tot	samples	The total number of time series samples used in calculation of LE
H	W/m^2	Final corrected sensible heat flux derived from sonic sensible heat flux
H_qc_grade	Grade	Overall quality grade for Hs following Foken et al. 2012
H_samples_Tot	samples	The total number of time series samples used in calculation of H
H_FW	W/m^2	Final corrected sensible heat flux derived from fine-wire thermocouple measurements
H_FW_samples_Tot	samples	The total number of time series samples used in calculation of H_FW
Rn	W/m^2	Average net radiation (corrected for wind)
G_surface	W/m^2	Heat flux at the ground surface
energy_closure	Fraction	The ratio of sensible and latent heat fluxes over surface heat flux plus net radiation
Bowen_ratio	fraction	The ratio of final sensible heat flux over final latent heat flux
tau	(kg m/s)/(m^2 s)	Final corrected momentum flux
tau_qc_grade	Grade	Overall quality grade for tau following Foken et al. 2012
u_star	m/s	Friction velocity after coordinate rotations and frequency corrections
T_star	C	Scaling temperature after coordinate rotations, frequency corrections, and SND correction
TKE	m^2/s^2	Specific turbulence kinetic energy after coordinate rotations
amb_tmpr_Avg	C	Average ambient temperature from EC100 temperature probe
Tc_Avg	C	Average air temperature derived from corrected sonic temperature
Td_Avg	C	Average dewpoint temperature derived from gas analyzer and sonic measurements
RH_Avg	%	Average relative humidity derived from gas analyzer measurements
e_sat_Avg	kPa	Average saturation vapor pressure derived from gas analyzer measurements
e_Avg	kPa	Average vapor pressure derived from gas analyzer measurements
amb_press_Avg	kPa	Average ambient air pressure
VPD_air	kpa	Vapor pressure deficit
Ux_Avg	m/s	Average Ux
Ux_Std	m/s	Standard deviation of Ux
Uy_Avg	m/s	Average Uy
Uy_Std	m/s	Standard deviation of Uy
Uz_Avg	m/s	Average Uz
Uz_Std	m/s	Standard deviation of Uz
Ts_Avg	C	Average sonic temperature
Ts_Std	C	Standard deviation of sonic temperature
sonic_azimuth	degrees	Compass direction in which the sonic negative x-axis points
wnd_spd	m/s	Average wind speed
rslt_wnd_spd	m/s	Average horizontal wind speed
wnd_dir_sonic	degrees	Average wind direction in the sonic coordinate system
std_wnd_dir	degrees	Standard deviation of wind direction
wnd_dir_compass	degrees	Average compass wind direction
CO2_molfrac_Avg	umol/mol	Average CO2 mole fraction (wet basis)
CO2_mixratio_Avg	umol/mol	Average CO2 dry molar mixing ratio
CO2_Avg	mg/m^3	Average CO2 mass density
CO2_Std	mg/m^3	Standard deviation of CO2 mass density
H2O_molfrac_Avg	mmol/mol	Water vapor mole fraction (wet basis)
H2O_mixratio_Avg	mmol/mol	Water vapor dry molar mixing ratio
H2O_Avg	g/m^3	Water vapor mass density
H2O_Std	g/m^3	Standard deviation of water vapor mass density
CO2_sig_strgth_Min	fraction	Minimum CO2 signal strength
H2O_sig_strgth_Min	fraction	Minimum H2O signal strength
FW_Avg	C	Average fine-wire thermocouple temperature
FW_Std	C	Standard deviation of fine-wire thermocouple temperature
T_probe_Avg	C	Average ambient temperature measured by temp/RH probe
e_probe_Avg	kPa	Average water vapor pressure derived from temp/RH probe
e_sat_probe_Avg	kPa	Average saturation water vapor pressure derived from temp/RH probe
Td_probe_Avg	C	Average dewpoint temperature derived from temp/RH probe
H2O_probe_Avg	g/m^3	Average water vapor density derived from temp/RH probe measurements
RH_probe_Avg	%	Average relative humidity from temp/RH probe
rho_a_probe_Avg	kg/m^3	Average air density derived from temp/RH probe
rho_d_probe_Avg	kg/m^3	Average dry air density derived from temp/RH probe
Precipitation_Tot	mm	Total precipitation
Rn_meas_Avg	W/m^2	Average net radiation (raw, not corrected for wind)
NRLITE_SENS	uV/W/m^2	Net radiometer calibration factor
albedo_Avg	unitless	Average albedo
R_SW_in_Avg	W/m^2	Average incoming short wave radiation
R_SW_out_Avg	W/m^2	Average outgoing short wave radiation
R_LW_in_Avg	W/m^2	Average incoming long wave radiation
R_LW_out_Avg	W/m^2	Average outgoing long wave radiation
T_nr_Avg	Klvin	Average sensor body temperature
R_LW_in_meas_Avg	W/m^2	Average raw incoming long wave radiation
R_LW_out_meas_Avg	W/m^2	Average raw outgoing long wave radiation
R_pyran_Avg	W/m^2	Average radiation measured by pyranometer
PAR_density_Avg	umol/(s m^2)	Average density of photosynthetic active radiation
QUANTUM_SENS	uA/mmol/m^2/s	Quantum (PAR) calibration factor
T_SI111_targeted_Avg	C	Average temperature of targeted object
T_SI111_body_Avg	C	Average temperature of sensor body
cupvane_WS_Avg	m/s	Average wind speed from cup-and-vane anemometer
cupvane_WS_rslt_Avg	m/s	Average wind vector magnitude from cup-and-vane anemometer
cupvane_WD_rslt_Avg	degrees	Average compass wind direction from cup-and-vane anemometer
cupvane_WD_csi_Std	degrees	Standard deviation of wind direction from cup-and-vane anemometer
Tsoil_Avg(1)	C	Average soil temperature for each TCAV sensor; i identifies which TCAV sensor
Tsoil_Avg(2)	C	Average soil temperature for each TCAV sensor; i identifies which TCAV sensor
soil_wtr_T_Avg(1)	frac_v_wtr	Average soil water content with temperature correction for each CS616; i identifies which CS616 sensor
soil_wtr_T_Avg(2)	frac_v_wtr	Average soil water content with temperature correction for each CS616; i identifies which CS616 sensor
soil_wtr_Avg(1)	frac_v_wtr	Average soil water content without temperature correction; i indentifies which CS616 sensor
soil_wtr_Avg(2)	frac_v_wtr	Average soil water content without temperature correction; i indentifies which CS616 sensor
cs616_wcr_Avg(1)	uSeconds	Average water content reflectometer period for each CS616; i identifies which CS616 sensor
cs616_wcr_Avg(2)	uSeconds	Average water content reflectometer period for each CS616; i identifies which CS616 sensor
cs65x_wc_Avg(1)	frac_v_wtr	Average soil water content for each sensor; i identifies which CS650 or CS655 sensor
cs65x_wc_Avg(2)	frac_v_wtr	Average soil water content for each sensor; i identifies which CS650 or CS655 sensor
cs65x_ec_Avg(1)	dS/m	Average electrical conductivity for each sensor; i identifies which CS650 or CS655 sensor
cs65x_ec_Avg(2)	dS/m	Average electrical conductivity for each sensor; i identifies which CS650 or CS655 sensor
cs65x_tmpr_Avg(1)	C	Average soil temperature for each sensor; i identifies which CS650 or CS655 sensor
cs65x_tmpr_Avg(2)	C	Average soil temperature for each sensor; i identifies which CS650 or CS655 sensor
tdr31X_wc_Avg(1)	%	Average soil water content for each sensor; i identifies which TDR3x sensor
tdr31X_wc_Avg(2)	%	Average soil water content for each sensor; i identifies which TDR3x sensor
tdr31X_tmpr_Avg(1)	C	Average soil temperature for each sensor; i identifies which TDR3x sensor
tdr31X_tmpr_Avg(2)	C	Average soil temperature for each sensor; i identifies which TDR3x sensor
tdr31X_E_Avg(1)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
tdr31X_E_Avg(2)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
tdr31X_bulkEC_Avg(1)	uS/cm	Average bulk electrical conductivity for each sensor; i identifies which TDR3x sensor
tdr31X_bulkEC_Avg(2)	uS/cm	Average bulk electrical conductivity for each sensor; i identifies which TDR3x sensor
tdr31X_poreEC_Avg(1)	uS/cm	Average pore water electrical conductivity for each sensor; i identifies which TDR3x sensor
tdr31X_poreEC_Avg(2)	uS/cm	Average pore water electrical conductivity for each sensor; i identifies which TDR3x sensor
soil_5TM_E_Avg(1)	unitless	Average soil permittivity for each sensor; i identifies which 5TM sensor
soil_5TM_E_Avg(2)	unitless	Average soil permittivity for each sensor; i identifies which 5TM sensor
soil_5TM_tmpr_Avg(1)	C	Average soil temperature for each sensor; i identifies which 5TM sensor
soil_5TM_tmpr_Avg(2)	C	Average soil temperature for each sensor; i identifies which 5TM sensor
soil_5TM_wc_Avg(1)	frac_v_wtr	Average soil water content for each sensor; i identifies which 5TM sensor
soil_5TM_wc_Avg(2)	frac_v_wtr	Average soil water content for each sensor; i identifies which 5TM sensor
shf_plate_avg(1)	W/m^2	Average soil heat flux; i identifies which sensor
shf_plate_avg(2)	W/m^2	Average soil heat flux; i identifies which sensor
shf_plate_avg(3)	W/m^2	Average soil heat flux; i identifies which sensor
shf_plate_avg(4)	W/m^2	Average soil heat flux; i identifies which sensor
SHFP_1_SENS	uv/W/m^2	Heat flux plate #1 calibration factor
SHFP_2_SENS	uv/W/m^2	Heat flux plate #2 calibration factor
SHFP_3_SENS	uv/W/m^2	Heat flux plate #3 calibration factor
SHFP_4_SENS	uv/W/m^2	Heat flux plate #4 calibration factor
shf_plate_cal(1)	unitless	Coefficients found from the HFP01SC self-calibration and used to calculate shf_plate_Avg(1); i indicates which sensor
shf_plate_cal(2)	unitless	Coefficients found from the HFP01SC self-calibration and used to calculate shf_plate_Avg(2); i indicates which sensor
shf_plate_cal(3)	unitless	Coefficients found from the HFP01SC self-calibration and used to calculate shf_plate_Avg(3); i indicates which sensor
shf_plate_cal(4)	unitless	Coefficients found from the HFP01SC self-calibration and used to calculate shf_plate_Avg(4); i indicates which sensor
profile_tdr31X_wc_Avg(1)	%	Average soil water content for each sensor; i identifies which TDR3x sensor
profile_tdr31X_wc_Avg(2)	%	Average soil water content for each sensor; i identifies which TDR3x sensor
profile_tdr31X_wc_Avg(3)	%	Average soil water content for each sensor; i identifies which TDR3x sensor
profile_tdr31X_wc_Avg(4)	%	Average soil water content for each sensor; i identifies which TDR3x sensor
profile_tdr31X_wc_Avg(5)	%	Average soil water content for each sensor; i identifies which TDR3x sensor
profile_tdr31X_wc_Avg(6)	%	Average soil water content for each sensor; i identifies which TDR3x sensor
profile_tdr31X_tmpr_Avg(1)	C	Average soil temperature for each sensor; i identifies which TDR3x sensor
profile_tdr31X_tmpr_Avg(2)	C	Average soil temperature for each sensor; i identifies which TDR3x sensor
profile_tdr31X_tmpr_Avg(3)	C	Average soil temperature for each sensor; i identifies which TDR3x sensor
profile_tdr31X_tmpr_Avg(4)	C	Average soil temperature for each sensor; i identifies which TDR3x sensor
profile_tdr31X_tmpr_Avg(5)	C	Average soil temperature for each sensor; i identifies which TDR3x sensor
profile_tdr31X_tmpr_Avg(6)	C	Average soil temperature for each sensor; i identifies which TDR3x sensor
profile_tdr31X_E_Avg(1)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_E_Avg(2)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_E_Avg(3)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
